Name,Type,Latitude,Longitude
Alabama Jazz Music Hall of Fame,Physical Authorised,41.730116,-72.722247
Alabama Music Hall of Fame,Physical Authorised,41.730116,-72.722247
American Jazz Museum,Physical Authorised,38.91278,-94.417377
Archiv Osterreichischer Popularmusik,Physical Authorised,41.730995,-72.727546
Archiv Osterreichischer Popularmusik,Physical DIY,41.730995,-72.727546
"ARChive of Contemporary Music, The ",Physical Authorised,32.825571,-96.941823
"ARChive of Contemporary Music, The ",Physical DIY,41.730116,-72.722247
Archives Internationales de Musique Populaire (AIMP),Physical Authorised,41.73207,-72.739298
Archives Musicales - ville de Bruxelles,Physical Authorised,41.730746,-72.72163
Archives of African American Music and Culture,Physical Authorised,41.718746,-72.76202
Asbury Park Musical Heritage Foundation ,Physical Authorised,41.730116,-72.722247
Association for Cultural Equity (ACE online archive),Physical Authorised,49.18504,-122.845398
Augusta Heritage Center,Physical Authorised,41.730116,-72.722247
Australian Archive of Jewish Music,Physical Authorised,41.718746,-72.76202
Australian Country Music Hall of Fame,Physical DIY,41.718768,-72.762247
Australian Jazz Museum (Victorian Jazz Archive),Physical DIY,41.718768,-72.762247
BBC Sound Archive,Physical Authorised,51.518562,-0.143799
Belfast Music Exhibition,Physical Authorised,54.602016,-5.925828
Bethel Woods Centre for the Arts,Physical Authorised,49.206184,-122.868886
Bibliotheque et Archives Nationales du Quebec,Physical Authorised,45.51584,-73.563082
Birthplace of Country Music,Physical Authorised,41.730116,-72.722247
Black Gospel Music Restoration Project,Physical Authorised,41.730116,-72.722247
Bob Marley Museum,Physical Authorised,51.482817,-0.213989
Bokoor African Popular Music Archives Foundation (BAPMAF),Physical DIY,41.740499,-72.695427
Bowling Green State University - Music Library and Sound Recording Archives,Physical Authorised,41.746941,-72.683469
British Music Experience,Physical Authorised,53.4091,-2.98564
Bronx Music Heritage Centre,Physical Authorised,49.192568,-122.845211
Brooklyn Academy of Music - Hamm Archives,Physical Authorised,55.378051,-3.435973
Center for Southern Folklore,Physical Authorised,35.025735,-89.819007
Centre de Documentation de la Musique Contemporaine (CDMC),Physical Authorised,32.805628,-96.942422
Centre de la Musique Baroque de Versailles (CMBV),Physical Authorised,41.730116,-72.722247
Chasing Rainbows Museum,Physical Authorised,41.730116,-72.722247
Cite de la Musique,Physical Authorised,32.805628,-96.942422
City of Lubbock - Buddy Holly Centre,Physical Authorised,41.730116,-72.722247
Collection des Archives musicales - Lausanne University,Physical Authorised,41.730057,-72.722765
Country Music Hall of Fame - Studio B,Physical Authorised,36.09136,-86.652989
Country Music Hall of Fame and Museum,Physical Authorised,36.09136,-86.652989
Czech Museum of Music,Physical Authorised,41.730116,-72.722247
Delta Blues Museum,Physical Authorised,41.730116,-72.722247
Delta Cultural Centre,Physical Authorised,41.730116,-72.722247
Denmark Rock Museum,Physical Authorised,41.730116,-72.722247
Detroit Electronic Music Archive,Physical Authorised,49.151992,-122.845781
Doo Wop Preservation League,Physical DIY,49.153041,-122.845783
Elvis & Hollywood Legends Museum,Physical DIY,41.730116,-72.722247
Elvis Birthplace,Physical Authorised,41.730116,-72.722247
Elvis Presley Memorial Record Room (KD's Elvis Presley Museum),Physical DIY,49.229304,-123.002247
EMI Archive,Physical Authorised,51.507724,-0.430582
"EMP Museum: Music, Sci-fi & Pop Culture",Physical Authorised,47.62886,-122.34569
European Blues Association Archive,Physical Authorised,51.75015,-2.315522
